Time,Bel,Ger,Ire,Gre,Spa,Fra,Ita,Neth,Aus,Por,Fin,Lux
1997Q1,55253.9,486525.6,17133.4,30620.3,127690.1,317292.3,267258.1,88853.4,46423.5,25494.9,27223.6,4268.2
1997Q2,56087.4,490671.8,18089,30956.6,128928.6,321056.9,271346.5,90309.9,46478.3,25714.3,27646.7,4307
1997Q3,56457.7,489618.3,18412.8,31862.3,130105.8,322350,276124.9,91335.4,46940.5,25981.1,28284.2,4365.8
1997Q4,57104.2,494307.1,19377.2,32696.1,132911.4,328831.6,280221.6,93477.4,47640.5,26157,28807.4,4475.7
1998Q1,57415.4,496462.5,19105.5,32355.7,133593.6,331305.1,278744.3,94519.9,47904.8,26721.2,28968.5,4339.6
1998Q2,57975.1,498588.7,20128.6,31040.3,136437.5,335834.9,282035.1,95668.7,48456.7,27405.9,29658.4,4526.9
1998Q3,58524.6,501860.5,20771.4,32362.3,139128.5,339533.1,282954.4,97276.6,48809.9,28013.3,30304.2,4569.4
1998Q4,58941.5,505735.6,20477.8,33113.2,142233.8,343617.6,286850.8,99091.8,49280.7,28575.2,30710.2,4622.1
1999Q1,59648,510026,21829.5,34404.5,144646,345894,287241.2,101056.9,49925.8,29316.1,31127,4926.8
1999Q2,60471,511695,22008.5,34819.9,147165,349089,289842.8,102564.5,50353,29703.7,31544,5128.9
1999Q3,61458,516829,24033,35043,149830,353412,293637.1,104348.9,51001.5,30046.2,31841,5325.4
1999Q4,62646,521703,24818.7,35611.3,152675,358416,300000.6,106751.9,51769.2,30573.2,32411,5482.2
2000Q1,63522,526045,25591.7,35423.3,156687,364377,303611.2,108920,52270.8,31461.7,33314,5672.2
2000Q2,64213,529899,26693.5,35674.5,159662,369338,307998,110834.4,53105.8,31694.1,33594,5711.8
2000Q3,64759,530534,27424.3,36021.2,163320,373954,311920.9,113251.7,53530.9,32454.8,34355,5844.3
2000Q4,65742,530081,28626.7,36143.5,166581,378609,317547.4,115126.7,54509.4,32855.7,34998,5843.3
2001Q1,65669,542543,29466.7,37247.1,169924,382407,322301.1,117819.2,54879.7,33120.8,35913,5836.2
2001Q2,66606,544293,30263.3,37628.7,173227,385161,323735.8,118779.7,54871.6,33730,36013,5833.8
2001Q3,66658,545793,30807.7,38555.5,176614,388118,325324.9,119485.6,54914.1,34046.4,36295,5912.6
2001Q4,66853,550071,31363.6,38909.5,179763,390250,326982,120670.1,55561.2,34930.3,36216,6170.6
2002Q1,67767,549767,32984.4,39628.5,182451,394031,331814.5,121744.6,55912.2,35354.6,36545,6257.6
2002Q2,68497,549998,33010.4,40683.3,185911,397321,334409.1,123245.5,56656.8,35597.5,37156,6328.6
2002Q3,69118,556293,34568.9,41108,188834,400754,338429.2,124710.2,56827.6,35772.8,37077,6273.9
2002Q4,69680,556693,35348,42249.4,192092,402727,340565.1,124862.1,56993.3,35906.4,37511,6223.3
2003Q1,69731,552022,35346.5,43287.5,195924,404780,342799,125831.1,57560.7,36075.4,37271,6306.7
2003Q2,70280,552429,35644,44150.8,198983,406309,344699,126148,57439.4,36355.6,37645,6524.4
2003Q3,70843,559034,36015.6,45372.1,202523,411194,351687.6,126858.9,57845.7,36604.5,38196,6526.5
