date,euro12,belgium,germany,ireland,greece,spain,france,italy,netherlands,austria,portugal,finland,luxembourg,euro12Mbelgium,euro12Mgermany,euro12Mireland,euro12Mgreece,euro12Mspain,euro12Mfrance,euro12Mitaly,euro12Mnetherlands,euro12Maustria,euro12Mportugal,euro12Mfinland,euro12Mluxembourg,belgiumCor,germanyCor,irelandCor,greeceCor,spainCor,franceCor,italyCor,netherlandsCor,austriaCor,portugalCor,finlandCor,luxembourgCor
1995 JAN,-0.003504698,0.013222388,-0.003029333,na,-0.009304108,-0.01659903,0.002427106,-0.02289129,0.016066134,na,0.011551387,-0.008817031,-0.000712357,-0.004173184,-0.004467034,na,-0.003401663,-0.002499106,-0.005134131,0.000521909,-0.004788188,na,-0.003778556,-0.003421025,-0.003516449,na,na,na,na,na,na,na,na,na,na,na,na
1995 APR,-0.000118799,0.025575733,0.023498228,na,-0.016581273,-0.000338706,0.006703722,-0.082130381,0.014979427,na,0.007382333,0.0274213,0.030484412,-0.001148625,-0.013265562,na,0.000192893,-0.000229903,-0.001991631,0.015548433,-0.001111173,na,-0.000261895,-0.000628586,-0.000210363,na,na,na,na,na,na,na,na,na,na,na,na
1995 JUL,0.006786314,0.01931724,0.018495921,na,-0.015833354,0.013669471,0.011661776,-0.036190253,0.020229485,na,0.000925097,0.030814066,0.006632479,0.006295311,0.000372949,na,0.007222289,0.006050764,0.00545536,0.015485144,0.005905216,na,0.006868449,0.006343189,0.006784257,na,na,na,na,na,na,na,na,na,na,na,na
1995 OCT,0.007902525,0.016134368,0.019615537,na,-0.032042402,0.016890142,0.00659395,-0.020765276,0.017828506,na,-0.009430437,0.029107981,0.052532356,0.007586253,0.001726671,na,0.008671297,0.006985373,0.008273078,0.013971646,0.007251628,na,0.008178905,0.007513229,0.007769898,na,na,na,na,na,na,na,na,na,na,na,na
1996 JAN,0.006247312,0.00886823,-0.001584457,na,-0.027649308,0.02938422,0.013512887,0.013146294,0.002618209,0.017899884,-0.009929659,-0.021616351,0.035420956,0.006155194,0.010291451,na,0.006912081,0.004026704,0.004260978,0.00529691,0.006463535,0.006171143,0.006513263,0.006752937,0.006160938,na,na,na,na,na,na,na,na,na,na,na,na
1996 APR,0.00896058,-0.004573508,8.60E-06,na,0.003202344,0.024576626,0.010154696,0.037405039,-0.004470581,0.011981741,-0.011902844,-0.040076106,0.012238407,0.00950036,0.013628284,na,0.009090407,0.007440592,0.008645829,0.003505271,0.009802001,0.009422788,0.009310736,0.009845422,0.008950423,0.39,-0.01,na,-0.61,0.86,0.71,-0.66,0.48,na,-0.3,-0.02,0.75
1996 JUL,0.010125981,-0.006235785,0.006193442,na,0.017671688,0.018438003,0.005543595,0.034992432,-0.000896625,0.012777674,0.002494644,-0.021198817,0.019172298,0.010772672,0.012335406,na,0.009993546,0.009287302,0.011385522,0.005355541,0.010825428,0.010864117,0.010263687,0.010703755,0.010099562,0.5,-0.02,na,-0.68,0.88,0.79,-0.69,0.65,na,-0.05,-0.03,0.77
1996 OCT,0.002498328,-0.014066869,-0.000774864,na,0.025625339,0.005108726,-0.006921063,0.033180118,-0.015277587,0.007261843,-0.004468483,-0.010523583,-0.024402835,0.003150103,0.004413227,na,0.002048231,0.002193596,0.005063788,-0.003596152,0.003632253,0.003433122,0.002629409,0.002748845,0.002575958,0.69,0.47,na,-0.7,0.9,0.84,-0.58,0.76,na,0.14,0.03,0.85
1997 JAN,-0.009109332,-0.022776901,-0.019837789,-0.006928174,0.028771507,-0.006239113,-0.017545906,0.024711534,-0.023777163,-0.009335736,0.005402491,-0.014352498,-0.027833678,-0.008571511,-0.003561749,0.002510457,-0.009870502,-0.009433291,-0.006812223,-0.015978509,-0.008161416,-0.007761914,-0.00934343,-0.008999895,-0.009054134,0.7,0.62,na,-0.41,0.91,0.79,-0.29,0.8,na,0.06,-0.18,0.87
1997 APR,-0.006897824,-0.014672002,-0.014352675,0.014758541,0.023298297,-0.011528776,-0.01448206,0.024368405,-0.020641754,-0.016178596,-0.00320507,-0.013670776,-0.032827095,-0.006588966,-0.002959923,0.002949754,-0.007505089,-0.006514882,-0.00483358,-0.013305867,-0.005999352,-0.005039142,-0.006943615,-0.006758306,-0.006821147,0.68,0.83,na,-0.19,0.91,0.72,0.34,0.87,0.92,0.05,-0.75,0.88
